BUND/LAND	GERICHTSBEZEICHNUNG	ECLI-GERICHTSCOD
Bundesrepublik Deutschland	Bundesverfassungsgericht	BVerfG
Bundesrepublik Deutschland	Bundesgerichtshof	BGH
Bundesrepublik Deutschland	Bundesverwaltungsgericht	BVerwG
Bundesrepublik Deutschland	Bundesfinanzhof	BFH
Bundesrepublik Deutschland	Bundesarbeitsgericht	BAG
Bundesrepublik Deutschland	Bundessozialgericht	BSG
Bundesrepublik Deutschland	Bundespatentgericht	BPatG
Baden-Württemberg	Amtsgericht Aalen	AGAALEN
Baden-Württemberg	Amtsgericht Achern	AGACHER
Baden-Württemberg	Amtsgericht Adelsheim	AGADELS
Baden-Württemberg	Amtsgericht Albstadt	AGALBST
Baden-Württemberg	Amtsgericht Backnang	AGBACKN
Baden-Württemberg	Amtsgericht Bad Mergentheim	AGMERGE
Baden-Württemberg	Amtsgericht Bad Säckingen	AGSAECK
Baden-Württemberg	Amtsgericht Bad Saulgau	AGSAULG
Baden-Württemberg	Amtsgericht Bad Urach	AGURACH
Baden-Württemberg	Amtsgericht Bad Waldsee	AGBADWA
Baden-Württemberg	Amtsgericht Baden-Baden	AGBADEN
Baden-Württemberg	Amtsgericht Balingen	AGBALIN
Baden-Württemberg	Amtsgericht Besigheim	AGBESIG
Baden-Württemberg	Amtsgericht Biberach/Riss	AGBIBER
Baden-Württemberg	Amtsgericht Böblingen	AGBOEBL
Baden-Württemberg	Amtsgericht Brackenheim	AGBRACK
Baden-Württemberg	Amtsgericht Breisach am Rhein	AGBREIS
Baden-Württemberg	Amtsgericht Bretten	AGBRETT
Baden-Württemberg	Amtsgericht Bruchsal	AGBRUCH
Baden-Württemberg	Amtsgericht Buchen	AGBUCHE
Baden-Württemberg	Amtsgericht Bühl	AGBUEHL
Baden-Württemberg	Amtsgericht Calw	AGCALW
Baden-Württemberg	Amtsgericht Crailsheim	AGCRAIL
Baden-Württemberg	Amtsgericht Donaueschingen	AGDONAU
Baden-Württemberg	Amtsgericht Ehingen/Donau	AGEHING
Baden-Württemberg	Amtsgericht Ellwangen (Jagst)	AGELLWA
Baden-Württemberg	Amtsgericht Emmendingen	AGEMMEN
Baden-Württemberg	Amtsgericht Esslingen am Neckar	AGESSLI
Baden-Württemberg	Amtsgericht Ettenheim	AGETTEN
Baden-Württemberg	Amtsgericht Ettlingen	AGETTLI
Baden-Württemberg	Amtsgericht Freiburg im Breisgau	AGFREIB
Baden-Württemberg	Amtsgericht Freudenstadt	AGFREUD
Baden-Württemberg	Amtsgericht Geislingen	AGGEISL
Baden-Württemberg	Amtsgericht Gengenbach	AGGENGE
Baden-Württemberg	Amtsgericht Gernsbach	AGGERNS
Baden-Württemberg	Amtsgericht Göppingen	AGGOEPP
Baden-Württemberg	Amtsgericht Hechingen	AGHECHI
Baden-Württemberg	Amtsgericht Heidelberg	AGHEIDE
Baden-Württemberg	Amtsgericht Heidenheim a. d. Brenz	AGHEIDH
Baden-Württemberg	Amtsgericht Heilbronn	AGHN
Baden-Württemberg	Amtsgericht Horb am Neckar	AGHORB
Baden-Württemberg	Amtsgericht Karlsruhe	AGKARLS
Baden-Württemberg	Amtsgericht Karlsruhe-Durlach	AGDURLA
Baden-Württemberg	Amtsgericht Kehl	AGKEHL
Baden-Württemberg	Amtsgericht Kenzingen	AGKENZI
Baden-Württemberg	Amtsgericht Kirchheim unter Teck	AGKIRUT
Baden-Württemberg	Amtsgericht Konstanz	AGKONST
Baden-Württemberg	Amtsgericht Künzelsau	AGKUENZ
Baden-Württemberg	Amtsgericht Lahr/Schwarzwald	AGLAHR
Baden-Württemberg	Amtsgericht Langenburg	AGLANGE
Baden-Württemberg	Amtsgericht Leonberg	AGLEONB
Baden-Württemberg	Amtsgericht Leutkirch	AGLEUTK
Baden-Württemberg	Amtsgericht Lörrach	AGLOERR
Baden-Württemberg	Amtsgericht Ludwigsburg	AGLB
Baden-Württemberg	Amtsgericht Mannheim	AGMANNH
Baden-Württemberg	Amtsgericht Marbach	AGMARBA
Baden-Württemberg	Amtsgericht Maulbronn	AGMAULB
Baden-Württemberg	Amtsgericht Mosbach	AGMOSBA
Baden-Württemberg	Amtsgericht Müllheim	AGMUELL
Baden-Württemberg	Amtsgericht Münsingen	AGMUENS
Baden-Württemberg	Amtsgericht Nagold	AGNAGOL
Baden-Württemberg	Amtsgericht Neresheim	AGNERES
Baden-Württemberg	Amtsgericht Nürtingen	AGNUERT
Baden-Württemberg	Amtsgericht Oberkirch	AGOBERK
Baden-Württemberg	Amtsgericht Oberndorf am Neckar	AGOBER1
Baden-Württemberg	Amtsgericht Offenburg	AGOG
Baden-Württemberg	Amtsgericht Öhringen	AGOEHRI
Baden-Württemberg	Amtsgericht Pforzheim	AGPFORZ
Baden-Württemberg	Amtsgericht Philippsburg	AGPHILI
Baden-Württemberg	Amtsgericht Radolfzell am Bodensee	AGRADOL
Baden-Württemberg	Amtsgericht Rastatt	AGRASTA
Baden-Württemberg	Amtsgericht Ravensburg	AGRAVEN
Baden-Württemberg	Amtsgericht Reutlingen	AGREUTL
Baden-Württemberg	Amtsgericht Riedlingen	AGRIEDL
Baden-Württemberg	Amtsgericht Rottenburg	AGROTTE
Baden-Württemberg	Amtsgericht Rottweil	AGROTTW
Baden-Württemberg	Amtsgericht Sankt Blasien	AGSTBLA
Baden-Württemberg	Amtsgericht Schönau im Schwarzwald	AGSCHOE
Baden-Württemberg	Amtsgericht Schopfheim	AGSCHOP
Baden-Württemberg	Amtsgericht Schorndorf	AGSCHOR
Baden-Württemberg	Amtsgericht Schwäbisch Gmünd	AGGMUEN
Baden-Württemberg	Amtsgericht Schwäbisch Hall	AGSHALL
Baden-Württemberg	Amtsgericht Schwetzingen	AGSCHWE
Baden-Württemberg	Amtsgericht Sigmaringen	AGSIGMA
Baden-Württemberg	Amtsgericht Singen am Hohentwiel	AGSINGE
Baden-Württemberg	Amtsgericht Sinsheim	AGSINSH
Baden-Württemberg	Amtsgericht Spaichingen	AGSPAIC
Baden-Württemberg	Amtsgericht Staufen im Breisgau	AGSTAUF
Baden-Württemberg	Amtsgericht Stockach	AGSTOCK

Baden-Württemberg	Amtsgericht Stuttgart	AGSTUTT
Baden-Württemberg	Amtsgericht Stuttgart-Bad Cannstatt	AGCANNS
